Sample	Type	MRP20	ColonySizes	Frequency
3S	parent	MRP20	0.005,0.005,0.012,0.007,0.006,0.013,0.005,0.006,0.005,0.006,0.012,0.024,0.005,0.005,0.005,0.007,0.006,0.006,0.007,0.004,0.007,0.005,0.006,0.007,0.005,0.008,0.014,0.007,0.005,0.006,0.004,0.004,0.007,0.015,0.015,0.006,0.007,0.006,0.007,0.008,0.006,0.018,0.007,0.016,0.008,0.006,0.008,0.005,0.018,0.011,0.008,0.009,0.006,0.008,0.012,0.006,0.008,0.014,0.01,0.01,0.008,0.028,0.009,0.007,0.007,0.017,0.01,0.008,0.009,0.009,0.01,0.009,0.017,0.009,0.008,0.01,0.009,0.008,0.008,0.009,0.008,0.007,0.033,0.008,0.008,0.008,0.014,0.009,0.011,0.008,0.008,0.006,0.008,0.008,0.013,0.008,0.008,0.007,0.008,0.015,0.011,0.009,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.007,0.008	0
3S	parent	MRP20	0.009,0.013,0.009,0.008,0.012,0.02,0.011,0.009,0.018,0.009,0.011,0.011,0.01,0.008,0.018,0.01,0.011,0.011,0.012,0.014,0.012,0.01,0.013,0.011,0.011,0.011,0.011,0.01,0.01,0.01	0
BY	parent	mrp20	0.002,0.002,0.002,0.000939,0.001,0.001,0.000653,0.002,0.001,0.001,0.001,0.002,0.000581,0.001,0.001,0.001,0.001,0.001,0.000872,0.000692,0.000892,0.001,0.001,0.001,0.000997,0.001,0.000594,0.000886,5.56e-06,0.000978,0.001,0.001,0.000878,0.000914,0.001,0.000889,0.002,0.001,0.000731,0.002,0.000867,0.001,0.001,0.000989,0.000867,0.000939,0.000928,0.001,0.001,0.001,0.000592,0.001,0.001,0.001,0.001,0.000733,0.000458,0.000747,0.001,0.000908,0.000464,0.000842,0.000831,0.000728,0.001,0.000922,0.000753,0.001,0.001,0.001,0.000819,0.000697,0.000756,0.000931,0.000842,0.001,0.001,0.000772	91.025641025641
BY	parent	mrp20	0.001,0.001,0.000886,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.000878,0.001,0.001,0.001,0.001	71.4285714285714
BY	parent	mrp20	0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.000939,0.000781,0.002,0.000578,0.000733,0.002,0.000661,0.001,0.000978,0.000767,0.001,0.000556,2.78e-05,0.001,0.02,0.001,0.001,0.002,0.000928,2.5e-05,0.001,0.001,6.11e-05,0.002,0.001,0.000953,0.000789,0.001,0.000975,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001	83.6363636363636
3S	parent	mrp20	0.008,0.009,0.008,0.009,0.009,0.009,0.009,0.008,0.009,0.009,0.007,0.008,0.008,0.009,0.008,0.009,0.008,0.008,0.008,0.009,0.008,0.007,0.008,0.008,0.008,0.007,0.007,0.008,0.007	0
3S	parent	mrp20	0.01,0.009,0.008,0.008,0.008,0.009,0.011,0.009,0.009,0.009,0.009,0.009,0.008,0.01,0.008,0.009,0.008	0
3S	parent	mrp20	0.007,0.006,0.007,0.007,0.013,0.007,0.006,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.014,0.006,0.007,0.009,0.008,0.007,0.008,0.008,0.008,0.006,0.009,0.007,0.004,0.006,0.006,0.007,0.007,0.009,0.006,0.009,0.008,0.007,0.008,0.007,0.008,0.007,0.008,0.007,0.007,0.006,0.005,0.008,0.008,0.007,0.007,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.007,0.007,0.007,0.006,0.007,0.008,0.008	0
F2_D_mrp20_22	segregant	mrp20	0.000408,0.005,0.005,0.007,0.004,0.006,0.006,0.006,0.006,0.005,0.005,0.00055,0.005,0.006,0.001,0.006,0.005,0.006,0.006,0.000611,0.005,0.005,0.005,0.005,0.006,0.005,0.004,0.005,0.006,0.005,0.006,0.006,0.006,0.000844,0.006,0.005,0.006,0.007,0.004,0.004,0.005,0.004,0.000542,0.005,0.006,0.000644,0.006,0.006,0.005,0.006,0.001,0.003	15.3846153846154
F2_D_mrp20_75	segregant	mrp20	0.004,0.004,9e-04,0.001,0.005,0.000656,0.005,0.000953,0.005,0.000769,0.005,0.000681,0.005,0.004,0.005,0.004,0.001,0.005,0.000728,0.014,0.000786,0.000903,0.000661,0.005,0.004,0.005,0.005,0.006,0.005,0.000369,0.006,0.002,0.005,0.005,0.005,0.000661,0.000544,0.005,0.005	35.8974358974359
